17:38:47.925 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:38:55.852 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 17.0.7 with PID 2360 (C:\Users\pushkar.kaushik\Desktop\demo\target\classes started by Pushkar.Kaushik in C:\Users\pushkar.kaushik\Desktop\demo)
17:38:55.855 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
17:38:56.782 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:38:56.853 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 1 JPA repository interface.
17:38:57.521 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
17:38:57.536 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:38:57.536 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
17:38:57.620 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:38:57.622 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1669 ms
17:38:57.790 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:38:57.865 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
17:38:57.906 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
17:38:58.152 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
17:38:58.186 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:38:58.390 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5599b5bb
